number,name,type,height,weight,ThumbnailImage
001,Bulbasaur,"['grass', 'poison']",28.0,15.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png
002,Ivysaur,"['grass', 'poison']",39.0,28.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png
003,Venusaur,"['grass', 'poison']",94.0,342.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png
003,Venusaur,"['grass', 'poison']",79.0,220.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png
004,Charmander,['fire'],24.0,18.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png
005,Charmeleon,['fire'],43.0,41.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png
006,Charizard,"['fire', 'flying']",67.0,221.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png
006,Charizard,"['fire', 'dragon']",67.0,243.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png
006,Charizard,"['fire', 'flying']",67.0,199.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png
007,Squirtle,['water'],20.0,19.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png
008,Wartortle,['water'],39.0,49.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png
009,Blastoise,['water'],63.0,222.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png
009,Blastoise,['water'],63.0,188.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png
010,Caterpie,['bug'],12.0,6.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png
011,Metapod,['bug'],28.0,21.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png
012,Butterfree,"['bug', 'flying']",43.0,70.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png
013,Weedle,"['bug', 'poison']",12.0,7.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png
014,Kakuna,"['bug', 'poison']",24.0,22.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png
015,Beedrill,"['bug', 'poison']",55.0,89.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png
015,Beedrill,"['bug', 'poison']",39.0,65.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png
016,Pidgey,"['normal', 'flying']",12.0,4.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png
017,Pidgeotto,"['normal', 'flying']",43.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png
018,Pidgeot,"['normal', 'flying']",87.0,111.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png
018,Pidgeot,"['normal', 'flying']",59.0,87.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png
019,Rattata,"['dark', 'normal']",12.0,8.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png
019,Rattata,['normal'],12.0,7.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png
020,Raticate,"['dark', 'normal']",28.0,56.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png
020,Raticate,['normal'],28.0,40.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png
021,Spearow,"['normal', 'flying']",12.0,4.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png
022,Fearow,"['normal', 'flying']",47.0,83.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png
023,Ekans,['poison'],79.0,15.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png
024,Arbok,['poison'],138.0,143.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png
025,Pikachu,['electric'],16.0,13.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png
026,Raichu,"['electric', 'psychic']",28.0,46.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png
026,Raichu,['electric'],31.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png
027,Sandshrew,"['ice', 'steel']",28.0,88.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png
027,Sandshrew,['ground'],24.0,26.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png
028,Sandslash,"['ice', 'steel']",47.0,121.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png
028,Sandslash,['ground'],39.0,65.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png
029,Nidoranâ™€,['poison'],16.0,15.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png
030,Nidorina,['poison'],31.0,44.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png
031,Nidoqueen,"['poison', 'ground']",51.0,132.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png
032,Nidoranâ™‚,['poison'],20.0,19.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png
033,Nidorino,['poison'],35.0,43.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png
034,Nidoking,"['poison', 'ground']",55.0,136.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png
035,Clefairy,['fairy'],24.0,16.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png
036,Clefable,['fairy'],51.0,88.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png
037,Vulpix,['ice'],24.0,21.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png
037,Vulpix,['fire'],24.0,21.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png
038,Ninetales,"['ice', 'fairy']",43.0,43.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png
038,Ninetales,['fire'],43.0,43.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png
039,Jigglypuff,"['normal', 'fairy']",20.0,12.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png
